,val_id,train_id,name,description,resnet_id,resnet_desc,resnet_class
0,1,n02119789,"kit fox, Vulpes macrotis",small grey fox of southwestern United States; may be a subspecies of Vulpes velox,n02119789,kit_fox,279
1,2,n02100735,English setter,an English breed having a plumed tail and a soft silky coat that is chiefly white,n02100735,English_setter,213
2,3,n02110185,Siberian husky,breed of sled dog developed in northeastern Siberia; they resemble the larger Alaskan malamutes,n02110185,Siberian_husky,251
3,4,n02096294,Australian terrier,small greyish wire-haired breed of terrier from Australia similar to the cairn,n02096294,Australian_terrier,194
4,5,n02102040,"English springer, English springer spaniel",a breed having typically a black-and-white coat,n02102040,English_springer,218
5,6,n02066245,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",medium-sized greyish-black whale of the northern Pacific,n02066245,grey_whale,148
6,7,n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas,n02509815,lesser_panda,388
7,8,n02124075,Egyptian cat,a domestic cat of Egypt,n02124075,Egyptian_cat,286
8,9,n02417914,"ibex, Capra ibex",wild goat of mountain areas of Eurasia and northern Africa having large recurved horns,n02417914,ibex,351
9,10,n02123394,Persian cat,a long-haired breed of cat,n02123394,Persian_cat,284
10,11,n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",large American feline resembling a lion,n02125311,cougar,287
11,12,n02423022,gazelle,small swift graceful antelope of Africa and Asia having lustrous eyes,n02423022,gazelle,354
12,13,n02346627,"porcupine, hedgehog",relatively large rodents with sharp erectile bristles mingled with the fur,n02346627,porcupine,335
13,14,n02077923,sea lion,any of several large eared seals of the northern Pacific related to fur seals but lacking their valuable coat,n02077923,sea_lion,151
14,15,n02110063,"malamute, malemute, Alaskan malamute",breed of sled dog developed in Alaska,n02110063,malamute,250
15,16,n02447366,badger,sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere,n02447366,badger,363
16,17,n02109047,Great Dane,very large powerful smooth-coated breed of dog,n02109047,Great_Dane,247
17,18,n02089867,"Walker hound, Walker foxhound",an American breed of foxhound,n02089867,Walker_hound,167
18,19,n02102177,Welsh springer spaniel,a red-and-white breed slightly smaller than the English springer spaniel,n02102177,Welsh_springer_spaniel,219
19,20,n02091134,whippet,small slender dog of greyhound type developed in England,n02091134,whippet,173
20,21,n02092002,"Scottish deerhound, deerhound",very large and tall rough-coated dog bred for hunting deer; known as the royal dog of Scotland,n02092002,Scottish_deerhound,178
21,22,n02071294,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",predatory black-and-white toothed whale with large dorsal fin; common in cold seas,n02071294,killer_whale,149
22,23,n02442845,mink,slender-bodied semiaquatic mammal having partially webbed feet; valued for its fur,n02442845,mink,358
23,24,n02504458,"African elephant, Loxodonta africana",an elephant native to Africa having enormous flapping ears and ivory tusks,n02504458,African_elephant,387
24,25,n02092339,Weimaraner,large breed of hound having a smooth greyish coat; originated in Germany,n02092339,Weimaraner,179
25,26,n02098105,soft-coated wheaten terrier,Irish breed of medium-sized terrier with an abundant coat any shade of wheat and very hairy head and muzzle,n02098105,soft-coated_wheaten_terrier,203
26,27,n02096437,"Dandie Dinmont, Dandie Dinmont terrier",a breed of small terrier with long wiry coat and drooping ears,n02096437,Dandie_Dinmont,195
27,28,n02114712,"red wolf, maned wolf, Canis rufus, Canis niger",reddish-grey wolf of southwestern North America,n02114712,red_wolf,272
28,29,n02105641,"Old English sheepdog, bobtail",large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail; believed to trace back to the Roman occupation of Britain,n02105641,Old_English_sheepdog,230
29,30,n02128925,"jaguar, panther, Panthera onca, Felis onca",a large spotted feline of tropical America similar to the leopard; in some classifications considered a member of the genus Felis,n02128925,jaguar,291
30,31,n02091635,"otterhound, otter hound",hardy British hound having long pendulous ears and a thick coarse shaggy coat with an oily undercoat; bred for hunting otters,n02091635,otterhound,176
31,32,n02088466,"bloodhound, sleuthhound",a breed of large powerful hound of European origin having very acute smell and used in tracking,n02088466,bloodhound,164
32,33,n02096051,"Airedale, Airedale terrier",breed of large wiry-coated terrier bred in Yorkshire,n02096051,Airedale,192
33,34,n02117135,"hyena, hyaena",doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion,n02117135,hyena,277
34,35,n02138441,"meerkat, mierkat",a mongoose-like viverrine of South Africa having a face like a lemur and only four toes,n02138441,meerkat,300
35,36,n02097130,giant schnauzer,a large schnauzer,n02097130,giant_schnauzer,198
36,37,n02493509,"titi, titi monkey",small South American monkeys with long beautiful fur and long nonprehensile tail,n02493509,titi,381
37,38,n02457408,"three-toed sloth, ai, Bradypus tridactylus",a sloth that has three long claws on each forefoot and each hindfoot,n02457408,three-toed_sloth,365
38,39,n02389026,sorrel,a horse of a brownish orange to light brown color,n02389026,sorrel,340
39,40,n02443484,"black-footed ferret, ferret, Mustela nigripes",musteline mammal of prairie regions of United States; nearly extinct,n02443484,black-footed_ferret,360
40,41,n02110341,"dalmatian, coach dog, carriage dog",a large breed having a smooth white coat with black or brown spots; originated in Dalmatia,n02110341,dalmatian,252
41,42,n02089078,black-and-tan coonhound,American breed of large powerful hound dogs used for hunting raccoons and other game,n02089078,black-and-tan_coonhound,166
42,43,n02086910,papillon,small slender toy spaniel with erect ears and a black-spotted brown to white coat,n02086910,papillon,158
43,44,n02445715,"skunk, polecat, wood pussy",American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae,n02445715,skunk,362
44,45,n02093256,"Staffordshire bullterrier, Staffordshire bull terrier",English breed of strong stocky dog having a broad skull and smooth coat,n02093256,Staffordshire_bullterrier,180
45,46,n02113978,Mexican hairless,any of an old breed of small nearly hairless dogs of Mexico,n02113978,Mexican_hairless,269
46,47,n02106382,"Bouvier des Flandres, Bouviers des Flandres",rough-coated breed used originally in Belgium for herding and guarding cattle,n02106382,Bouvier_des_Flandres,234
47,48,n02441942,weasel,small carnivorous mammal with short legs and elongated body and neck,n02441942,weasel,357
48,49,n02113712,miniature poodle,a breed of small poodles,n02113712,miniature_poodle,267
49,50,n02113186,"Cardigan, Cardigan Welsh corgi",slightly bowlegged variety of corgi having rounded ears and a long tail,n02113186,Cardigan,265
50,51,n02105162,malinois,fawn-colored short-haired sheepdog,n02105162,malinois,226
51,52,n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",wild sheep of mountainous regions of western North America having massive curled horns,n02415577,bighorn,350
52,53,n02356798,"fox squirrel, eastern fox squirrel, Sciurus niger",exceptionally large arboreal squirrel of eastern United States,n02356798,fox_squirrel,336
53,54,n02488702,"colobus, colobus monkey",arboreal monkey of western and central Africa with long silky fur and reduced thumbs,n02488702,colobus,376
54,55,n02123159,tiger cat,a cat having a striped coat,n02123159,tiger_cat,283
55,56,n02098413,"Lhasa, Lhasa apso",a breed of terrier having a long heavy coat raised in Tibet as watchdogs,n02098413,Lhasa,205
56,57,n02422699,"impala, Aepyceros melampus",African antelope with ridged curved horns; moves with enormous leaps,n02422699,impala,353
57,58,n02114855,"coyote, prairie wolf, brush wolf, Canis latrans",small wolf native to western North America,n02114855,coyote,273
58,59,n02094433,Yorkshire terrier,very small breed having a long glossy coat of bluish-grey and tan,n02094433,Yorkshire_terrier,188
59,60,n02111277,"Newfoundland, Newfoundland dog",a breed of very large heavy dogs with a thick coarse usually black coat; highly intelligent dogs and vigorous swimmers; developed in Newfoundland,n02111277,Newfoundland,257
60,61,n02132136,"brown bear, bruin, Ursus arctos",large ferocious bear of Eurasia,n02132136,brown_bear,295
61,62,n02119022,"red fox, Vulpes vulpes",the common Old World fox; having reddish-brown fur; commonly considered a single circumpolar species,n02119022,red_fox,278
62,63,n02091467,"Norwegian elkhound, elkhound",breed of compact medium-sized dog with a heavy grey coat developed in Norway for hunting elk,n02091467,Norwegian_elkhound,175
63,64,n02106550,Rottweiler,German breed of large vigorous short-haired cattle dogs,n02106550,Rottweiler,235
64,65,n02422106,hartebeest,a large African antelope with lyre-shaped horns that curve backward,n02422106,hartebeest,352
65,66,n02091831,"Saluki, gazelle hound",old breed of tall swift keen-eyed hunting dogs resembling greyhounds; from Egypt and southwestern Asia,n02091831,Saluki,177
66,67,n02120505,"grey fox, gray fox, Urocyon cinereoargenteus",dark grey American fox; from Central America through southern United States,n02120505,grey_fox,281
67,68,n02104365,schipperke,breed of small stocky black dogs originally used as watchdogs on boats in the Netherlands and Belgium,n02104365,schipperke,224
68,69,n02086079,"Pekinese, Pekingese, Peke",a Chinese breed of small short-legged dogs with a long silky coat and broad flat muzzle,n02086079,Pekinese,155
69,70,n02112706,Brabancon griffon,a variety of Brussels griffon having a short smooth coat,n02112706,Brabancon_griffon,263
70,71,n02098286,West Highland white terrier,small white long-coated terrier developed in Scotland,n02098286,West_Highland_white_terrier,204
71,72,n02095889,"Sealyham terrier, Sealyham",a wire-haired terrier with short legs that was first bred in Sealyham,n02095889,Sealyham_terrier,191
72,73,n02484975,"guenon, guenon monkey",small slender African monkey having long hind limbs and tail and long hair around the face,n02484975,guenon,371
73,74,n02137549,mongoose,agile grizzled Old World viverrine; preys on snakes and rodents,n02137549,mongoose,299
74,75,n02500267,"indri, indris, Indri indri, Indri brevicaudatus",large short-tailed lemur of Madagascar having thick silky fur in black and white and fawn,n02500267,indri,385
75,76,n02129604,"tiger, Panthera tigris",large feline of forests in most of Asia having a tawny coat with black stripes; endangered,n02129604,tiger,293
76,77,n02090721,Irish wolfhound,large breed of hound with a rough thick coat,n02090721,Irish_wolfhound,171
77,78,n02396427,"wild boar, boar, Sus scrofa",Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States,n02396427,wild_boar,343
78,79,n02108000,EntleBucher,the smallest of the Sennenhunde,n02108000,EntleBucher,242
79,80,n02391049,zebra,any of several fleet black-and-white striped African equines,n02391049,zebra,341
80,81,n02412080,"ram, tup","uncastrated adult male sheep; ""a British term is `tup'""",n02412080,ram,349
81,82,n02108915,French bulldog,small stocky version of the bulldog having a sleek coat and square head,n02108915,French_bulldog,246
82,83,n02480495,"orangutan, orang, orangutang, Pongo pygmaeus",large long-armed ape of Borneo and Sumatra having arboreal habits,n02480495,orangutan,366
83,84,n02110806,basenji,small smooth-haired breed of African origin having a tightly curled tail and the inability to bark,n02110806,basenji,254
84,85,n02128385,"leopard, Panthera pardus",large feline of African and Asian forests usually having a tawny coat with black spots,n02128385,leopard,289
85,86,n02107683,Bernese mountain dog,large powerful long-haired black-coated Swiss dog with deep tan or russet markings on legs and white blaze and feet and chest marking; formerly used for draft,n02107683,Bernese_mountain_dog,240
86,87,n02085936,"Maltese dog, Maltese terrier, Maltese",breed of toy dogs having a long straight silky white coat,n02085936,Maltese_dog,154
87,88,n02094114,Norfolk terrier,English breed of small terrier with a straight wiry grizzled coat and dropped ears,n02094114,Norfolk_terrier,186
88,89,n02087046,toy terrier,a small active dog,n02087046,toy_terrier,159
89,90,n02100583,"vizsla, Hungarian pointer",Hungarian hunting dog resembling the Weimaraner but having a rich deep red coat,n02100583,vizsla,212
90,91,n02096177,"cairn, cairn terrier",small rough-haired breed of terrier from Scotland,n02096177,cairn,193
91,92,n02494079,"squirrel monkey, Saimiri sciureus",small long-tailed monkey of Central American and South America with greenish fur and black muzzle,n02494079,squirrel_monkey,383
92,93,n02105056,groenendael,black-coated sheepdog with a heavily plumed tail,n02105056,groenendael,225
93,94,n02101556,"clumber, clumber spaniel",a thickset spaniel with longish silky hair,n02101556,clumber,217
94,95,n02123597,"Siamese cat, Siamese",a slender short-haired blue-eyed breed of cat having a pale coat with dark ears paws face and tail tip,n02123597,Siamese_cat,285
95,96,n02481823,"chimpanzee, chimp, Pan troglodytes",intelligent somewhat arboreal ape of equatorial African forests,n02481823,chimpanzee,368
96,97,n02105505,komondor,Hungarian breed of large powerful shaggy-coated white dog; used also as guard dog,n02105505,komondor,229
97,98,n02088094,"Afghan hound, Afghan",tall graceful breed of hound with a long silky coat; native to the Near East,n02088094,Afghan_hound,161
98,99,n02085782,Japanese spaniel,breed of toy dogs originating in Japan having a silky black-and-white or red-and-white coat,n02085782,Japanese_spaniel,153
99,100,n02489166,"proboscis monkey, Nasalis larvatus",Borneo monkey having a long bulbous nose,n02489166,proboscis_monkey,377
100,101,n02364673,"guinea pig, Cavia cobaya",stout-bodied nearly tailless domesticated cavy; often kept as a pet and widely used in research,n02364673,guinea_pig,339
101,102,n02114548,"white wolf, Arctic wolf, Canis lupus tundrarum",wolf of Arctic North America having white fur and a black-tipped tail,n02114548,white_wolf,271
102,103,n02134084,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",white bear of Arctic regions,n02134084,ice_bear,297
103,104,n02480855,"gorilla, Gorilla gorilla",largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa,n02480855,gorilla,367
104,105,n02090622,"borzoi, Russian wolfhound",tall fast-moving dog breed,n02090622,borzoi,170
105,106,n02113624,toy poodle,the breed of very small poodles,n02113624,toy_poodle,266
106,107,n02093859,Kerry blue terrier,an Irish breed of medium-sized terriers with a silky blue-grey coat,n02093859,Kerry_blue_terrier,184
107,108,n02403003,ox,an adult castrated bull of the genus Bos; especially Bos taurus,n02403003,ox,346
108,109,n02097298,"Scotch terrier, Scottish terrier, Scottie",old Scottish breed of small long-haired usually black terrier with erect tail and ears,n02097298,Scotch_terrier,200
109,110,n02108551,Tibetan mastiff,very large powerful rough-coated dog native to central Asia,n02108551,Tibetan_mastiff,245
110,111,n02493793,"spider monkey, Ateles geoffroyi",arboreal monkey of tropical America with long slender legs and long prehensile tail,n02493793,spider_monkey,382
111,112,n02107142,"Doberman, Doberman pinscher",medium large breed of dog of German origin with a glossy black and tan coat; used as a watchdog,n02107142,Doberman,237
112,113,n02096585,"Boston bull, Boston terrier",small pug-faced American terrier breed having a smooth brindle or black coat with white markings,n02096585,Boston_bull,196
113,114,n02107574,Greater Swiss Mountain dog,the largest of the four Swiss breeds,n02107574,Greater_Swiss_Mountain_dog,239
114,115,n02107908,Appenzeller,a smaller of the four Swiss breeds,n02107908,Appenzeller,241
115,116,n02086240,Shih-Tzu,a Chinese breed of small dog similar to a Pekingese,n02086240,Shih-Tzu,156
116,117,n02102973,Irish water spaniel,breed of large spaniels developed in Ireland having a heavy coat of liver-colored curls and a topknot of long curls and a nearly hairless tail,n02102973,Irish_water_spaniel,222
117,118,n02112018,Pomeranian,breed of very small compact long-haired dogs of the spitz type,n02112018,Pomeranian,260
118,119,n02093647,Bedlington terrier,a light terrier groomed to resemble a lamb,n02093647,Bedlington_terrier,182
119,120,n02397096,warthog,African wild swine with warty protuberances on the face and large protruding tusks,n02397096,warthog,344
120,121,n02437312,"Arabian camel, dromedary, Camelus dromedarius",one-humped camel of the hot deserts of northern Africa and southwestern Asia,n02437312,Arabian_camel,355
121,122,n02483708,"siamang, Hylobates syndactylus, Symphalangus syndactylus",large black gibbon of Sumatra having the 2nd and 3rd toes partially united by a web,n02483708,siamang,370
122,123,n02097047,miniature schnauzer,a small schnauzer,n02097047,miniature_schnauzer,197
123,124,n02106030,collie,a silky-coated sheepdog with a long ruff and long narrow head developed in Scotland,n02106030,collie,232
124,125,n02099601,golden retriever,an English breed having a long silky golden coat,n02099601,golden_retriever,208
125,126,n02093991,Irish terrier,medium-sized breed with a wiry brown coat; developed in Ireland,n02093991,Irish_terrier,185
126,127,n02110627,"affenpinscher, monkey pinscher, monkey dog",European breed of small dog resembling a terrier with dark wiry hair and a tufted muzzle,n02110627,affenpinscher,253
127,128,n02106166,Border collie,developed in the area between Scotland and England usually having a black coat with white on the head and tip of tail used for herding both sheep and cattle,n02106166,Border_collie,233
128,129,n02326432,hare,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes,n02326432,hare,332
129,130,n02108089,boxer,a breed of stocky medium-sized short-haired dog with a brindled coat and square-jawed muzzle developed in Germany,n02108089,boxer,243
130,131,n02097658,"silky terrier, Sydney silky",Australian breed of toy dogs having a silky blue coat,n02097658,silky_terrier,202
131,132,n02088364,beagle,a small short-legged smooth-coated breed of hound,n02088364,beagle,163
132,133,n02111129,Leonberg,a large dog (usually with a golden coat) produced by crossing a St Bernard and a Newfoundland,n02111129,Leonberg,256
